league_name,team_name,flag,name,age,position,tall,weight,full_time,half_time,minsPlayed,goals,asistsTotal,yellowCards,redCards,shotsPerGame_x,passSuccess_x,manOfTheMatch,aerialWonPerGame,rating,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outfielderBlockPerGame,goalOwn,shotsPerGame_y,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnoverPerGame,totalPassesPerGame,passSuccess_y,accurateCrossesPerGame,accurateLongPassPerGame,accurateThroughBallPerGame
LaLiga,Barcelona,ar,Lionel Messi,32," AM(CR),FW",170,72,10,1,901,12,6,1,0,3.6,81.4,7,0.4,8.65,0.6,0.1,0.5,0,0.1,0.6,0,0,3.6,2.7,5.1,1,0.4,1.9,2,52.7,81.4,0.5,1.7,0.5
LaLiga,Barcelona,uy,Luis Suárez,32," AM(CLR),FW",182,86,12,2,1014,9,3,3,0,3,73.6,0,0.4,7.49,0.2,0,0.8,0,0.5,0.4,0.1,0,3,0.9,1,0.7,0.6,0.7,0.9,23.3,73.6,0.1,1.2,0
LaLiga,Barcelona,br,Arthur,23, DMC,171,73,8,1,655,2,3,1,0,0.6,89.8,0,0.1,7.26,0.9,0.3,0.7,0,0.3,0.2,0,0,0.6,1,2.2,2.7,0.1,1.1,1.9,55.8,89.8,0.1,3,0.1
LaLiga,Barcelona,fr,Antoine Griezmann,28," AM(CLR),FW",176,73,14,1,1217,6,4,2,0,2,80,1,0.9,7.22,1.1,0.5,0.6,0,0.8,0.8,0.1,0,2,0.8,0.6,0.5,0.6,0.5,1.5,36.1,80,0.1,1.2,0.1
LaLiga,Barcelona,nl,Frenkie de Jong,22," D(C),DMC",180,74,15,1,1262,1,2,1,0,0.1,92.9,2,0.5,7.12,1.4,0.9,0.9,0,0.4,0.6,0.4,0,0.1,1.1,1.9,1.1,0.1,0.9,1,59.2,92.9,0.1,2.4,0.1
LaLiga,Barcelona,es,Sergio Busquets,31, DMC,189,76,10,3,942,1,2,5,0,0.2,89.5,0,0.6,7.06,2.5,1.3,1.2,0,0.6,1.1,0,0,0.2,1.1,0.6,1.3,0,0.2,0.5,67.8,89.5,0,3.8,0.2
LaLiga,Barcelona,fr,Samuel Umtiti,26, D(CL),182,75,3,1,277,0,0,1,0,0,88.6,0,2,7.00,0.8,1.3,1.8,0.3,5.3,0.5,0,0,0,0,1,1,0.3,0,0.3,41.5,88.6,0,1.5,0
LaLiga,Barcelona,es,Gerard Piqué,32, D(C),194,85,15,0,1343,1,0,8,0,0.5,90.1,1,3.4,6.96,0.9,0.9,1,0.6,4.3,0.2,0.9,0,0.5,0.3,0.2,0.5,0,0.2,0.4,71.2,90.1,0,4.7,0
LaLiga,Barcelona,es,Jordi Alba,30, D(L),170,68,7,0,602,1,0,1,0,0.3,89.1,0,0.1,6.93,1.3,1.3,0.7,0,1,0.3,0.1,0,0.3,1.3,0.9,0.4,0.3,0.1,0.6,77.1,89.1,0.4,2.6,0
LaLiga,Barcelona,br,Rafinha,26, M(CLR),174,71,2,1,187,0,0,0,0,2,90,0,0,6.93,1,0.3,1,0,0,0.3,0,0,2,1.7,1.3,4,0,1.7,2,50,90,1,2.3,0
LaLiga,Barcelona,fr,Clément Lenglet,24, D(C),186,81,13,0,1162,1,1,3,1,0.4,90.9,0,2.8,6.88,1.9,1.6,1.2,0.5,3.1,0.7,0.5,0,0.4,0.3,0.1,0.8,0,0.2,0.2,73,90.9,0,4.4,0
LaLiga,Barcelona,sn,Moussa Wague,21, D(R),177,70,1,0,90,0,0,0,0,0,88.1,0,1,6.88,2,1,1,1,0,0,0,0,0,0,3,0,0,1,0,59,88.1,0,3,0
LaLiga,Barcelona,pt,Nélson Semedo,26, D(R),177,67,10,3,866,0,2,1,0,0.2,89.6,0,0.4,6.82,1.9,0.7,0.9,0.2,0.8,0.2,0.1,0,0.2,0.2,1.3,1.4,0,0.8,1.3,44.4,89.6,0.2,1.8,0
LaLiga,Barcelona,es,Sergi Roberto,27," D(R),M(CR)",178,68,13,1,1097,0,2,6,0,0.3,90.1,0,1.2,6.76,1.1,1,0.8,0,1.3,0.4,0.1,0,0.3,0.6,0.5,1.4,0,0.8,0.9,60.1,90.1,0.3,0.6,0.1
LaLiga,Barcelona,es,Júnior Firpo,23," D(L),M(L)",184,78,7,1,595,1,0,2,0,0.4,88.6,0,0.6,6.71,1.8,1.3,2.5,0.4,0.8,0.8,0.3,0,0.4,0.8,0.5,1,0.1,0.3,1.1,52.6,88.6,0.4,0.9,0
LaLiga,Barcelona,fr,Ousmane Dembélé,22, AM(CLR),178,67,3,2,358,1,0,1,1,1,78,0,0.2,6.70,0.4,0,0.2,0,0,0.6,0,0,1,1.6,2.8,1,0.8,1,2.2,47.2,78,1,2.6,0.2
LaLiga,Barcelona,cl,Arturo Vidal,32, M(C),180,75,3,9,399,4,0,2,0,0.6,86,0,0.7,6.70,2.3,0.3,1,0,0.4,0.8,0.2,0,0.6,0.2,0.2,0.5,0.1,0.2,0.6,25.6,86,0.1,1.2,0
LaLiga,Barcelona,es,Carles Pérez,21, AM(R),173,75,5,3,458,1,2,0,0,1.8,82.7,0,0.1,6.69,0.8,0.1,0.4,0,0.1,1.5,0.3,0,1.8,0.8,1,0.4,0.3,1.1,1.5,31,82.7,0.4,0.3,0
LaLiga,Barcelona,gw,Ansu Fati,17, Forward,178,66,3,6,327,2,1,1,0,1.4,79.4,0,0.3,6.68,0.3,0.3,0.7,0,0,0.4,0,0,1.4,0.6,1.2,0.4,0.1,0.6,1.9,18.9,79.4,0.3,0.2,0
LaLiga,Barcelona,fr,Jean-Clair Todibo,19, D(C),190,81,1,1,77,0,0,0,0,0,96.1,0,1,6.53,0.5,0,0.5,0.5,3,0.5,0,0,0,0,0,0,0,0,0,25.5,96.1,0,1.5,0
LaLiga,Barcelona,de,Marc-André ter Stegen,27, GK,187,85,16,0,1440,0,2,0,0,0,86.7,0,0.6,6.51,0.1,0.1,0,0,0.9,0,0,0,0,0.1,0,0.1,0,0,0,27.3,86.7,0,5.9,0.1
LaLiga,Barcelona,hr,Ivan Rakitic,31, M(C),184,78,4,7,473,0,2,1,0,0.9,87.8,0,0.6,6.40,0.3,0.4,0.7,0,0.6,0.7,0.3,0,0.9,0.3,0.3,1.3,0,0.7,0.5,38.1,87.8,0.2,1.5,0.1
LaLiga,Barcelona,es,Carles Aleñá,21, M(C),180,73,1,2,81,0,0,0,0,0.3,93.8,0,0,6.20,0.3,0,0.7,0,0,0.7,0,0,0.3,0,0.7,0,0,0.3,0.7,21.3,93.8,0,1,0
LaLiga,Barcelona,uy,Ronald Araújo,20, Defender,188,79,0,1,14,0,0,0,1,0,100,0,0,5.17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0
LaLiga,Real Madrid,fr,Karim Benzema,31, FW,185,81,14,0,1214,11,5,0,0,4.1,85.7,6,1.3,7.82,0.4,0.1,0.5,0,1.1,0.2,0.1,0,4.1,1.8,1,0.4,0.6,1.3,2.2,30.5,85.7,0,1.4,0.2
LaLiga,Real Madrid,be,Eden Hazard,28," M(CLR),FW",175,74,7,1,609,1,1,0,0,1.1,84.2,1,0.8,7.60,0.5,0.3,1.1,0,0,1,0,0,1.1,1.4,4.4,3.8,0.3,2.1,2.3,37.3,84.2,0.3,1.6,0
LaLiga,Real Madrid,br,Casemiro,27, DMC,185,84,15,0,1320,1,1,5,0,1.1,84.5,0,3.3,7.55,3.7,2.3,2.3,0.1,1.6,1.9,0.2,0,1.1,0.3,0.6,1.9,0.1,0.5,0.6,58.7,84.5,0.2,6,0.1
LaLiga,Real Madrid,es,Daniel Carvajal,27, D(R),173,73,12,0,1080,1,4,2,0,0.5,87.1,2,1.3,7.37,2.3,1.4,1.3,0.2,0.8,0.6,0.3,0,0.5,1.6,0.7,0.7,0.2,0.3,1.8,64.7,87.1,0.6,3.1,0.1
LaLiga,Real Madrid,de,Toni Kroos,29, M(C),183,76,12,1,983,2,2,1,0,1.8,92.7,1,0.4,7.33,1.5,0.5,0.7,0,0.2,1.5,0,0,1.8,2.5,0.6,1.8,0,0.1,0.2,65.2,92.7,1.2,7.2,0.1
LaLiga,Real Madrid,fr,Raphael Varane,26, D(C),191,81,12,0,1080,1,1,1,0,0.3,88.5,0,3,7.15,1.3,0.9,0.3,0.5,4.5,0.3,0.5,0,0.3,0.2,0.3,0.3,0,0.1,0.5,51.6,88.5,0,4.1,0
LaLiga,Real Madrid,es,Nacho,29, D(CLR),180,76,2,0,180,0,0,2,0,1.5,86,0,2.5,7.09,1.5,1.5,2,0,2.5,1.5,0,0,1.5,1,0.5,2.5,0,1,1.5,43,86,0.5,1.5,0
LaLiga,Real Madrid,gb,Gareth Bale,30," M(CLR),FW",185,81,7,1,608,2,2,0,1,2.3,82.1,0,2,7.01,0.5,0.1,1.1,0,0.4,0.6,0.1,0,2.3,1,1.3,0.6,0.4,1,0.9,30.8,82.1,0.8,1.6,0
LaLiga,Real Madrid,hr,Luka Modric,34, M(C),172,66,5,5,546,2,4,1,1,0.9,89.2,1,0.3,7.01,0.9,0.8,1,0,0.2,1,0.1,0,0.9,1.5,1.1,0.7,0.1,1,1.3,36,89.2,0.7,2.3,0
LaLiga,Real Madrid,uy,Federico Valverde,21, M(CL),182,78,7,4,609,2,2,1,0,1.2,86.1,0,1.3,7.00,1.5,0.7,0.7,0,0.4,0.6,0.1,0,1.2,0.6,0.6,0.5,0,0.6,1.3,27.5,86.1,0.1,1.6,0.1
LaLiga,Real Madrid,br,Marcelo,31, D(L),174,75,6,0,540,0,1,1,0,1,86.6,0,0.3,6.95,1,0.7,0.7,0.2,1.2,1.7,0.2,0,1,2,1.2,1,0,0.3,1.2,67.3,86.6,0.7,4.3,0
LaLiga,Real Madrid,es,Sergio Ramos,33, D(CR),184,82,15,0,1320,3,0,3,0,1.1,91.1,0,2.3,6.93,1.4,1.5,1.4,0.6,3.5,0.5,0.1,0,1.1,0.1,0.1,0.7,0.1,0.1,0.3,62.3,91.1,0,5.7,0
LaLiga,Real Madrid,co,James Rodríguez,28, AM(CLR),180,75,4,3,341,1,1,1,0,1.3,82.3,0,0.4,6.87,1.7,0.4,0.7,0,0.1,0.7,0,0,1.3,2,0.1,0.9,0.3,0.4,1,33,82.3,0.9,2.4,0.6
LaLiga,Real Madrid,br,Rodrygo,18, AM(CLR),174,64,4,3,373,2,0,0,0,1.1,89.8,0,0.3,6.84,0.1,1,0.6,0,0.3,0.9,0,0,1.1,0.7,1,0.9,0.1,0.6,1.7,23.9,89.8,0.3,0.7,0
LaLiga,Real Madrid,fr,Ferland Mendy,24," D(L),M(L)",180,73,6,1,534,0,0,2,1,0.6,86.4,0,1,6.84,1.7,1,1.3,0.1,0.9,0.3,0.1,0,0.6,0.9,1.7,1,0,1,1,39,86.4,0.9,2.4,0
LaLiga,Real Madrid,be,Thibaut Courtois,27, GK,199,96,12,0,1080,0,0,0,0,0,75.3,0,0.2,6.82,0,0,0,0,0.7,0.1,0,0,0,0,0,0.2,0,0,0,24.9,75.3,0,2.8,0
LaLiga,Real Madrid,br,Vinícius Júnior,19, AM(L),176,73,5,4,488,1,1,2,0,1.9,77.9,0,0.1,6.77,0.2,0.1,0.7,0,0,0.7,0,0,1.9,0.9,2.2,1,0,0.3,1.3,19.1,77.9,0.2,0.1,0
LaLiga,Real Madrid,br,Eder Militão,21, D(CR),186,79,3,2,306,0,0,2,0,0.2,90.6,0,2.6,6.76,1.4,1.4,1.2,1.2,1.8,0.2,0.4,0,0.2,0,0,1,0.2,0.6,0.2,40.4,90.6,0,0.8,0
